'Tensao_kV';'Potencia_MVA';'TipoComutadorDeriv';'AnosDeOperacao';'RigidezDieletrica';'AguaNoOleo';'TensaoInterfacial';'IndiceNeutralizacao';'Cor';'Densidade';'FPD_25oC';'FPD_100oC';'MonitEspecial'
230;100;Em Carga (CDC);22.30;61.6;17;32.2;0.01;1;0.86675;0.018;0.714;0
13.8;387;Sem Comutador;23.86;92.3;10;32.2;0.02;2.5;0.88024;0.084;2.837;0
230;33;Em Carga (CDC);14.90;99.5;9;39.3;0;1;0.87641;0.003;0.143;0
550;200;Em Carga (CDC);9.45;94.5;10;43.9;0;0;0.87533;0.003;0.121;0
13.8;387;Sem Comutador;3.57;96.1;12;43.5;0;0;0.8792;0.003;0.126;0
500;250;Em Carga (CDC);43.79;100;9;31.2;NULL;2;0.88056;0.009;0.615;0
550;200;Em Carga (CDC);37.78;97.3;19;30.4;0.01;1.5;0.88107;0.092;1.643;0
230;60;Em Carga (CDC);36.54;76.8;14;32;NULL;1.5;0.88029;0.013;0.546;0
230;16.67;Em Carga (CDC);29.98;94.1;11;37.7;0;1;0.88232;0.011;0.739;0
13.8;387;Sem Comutador;34.03;95.7;13;30.9;NULL;2.5;0.87598;0.024;1.125;0
230;67;Sem Comutador;25.76;100.1;9;27.6;NULL;4;0.88211;0.195;7.122;0
230;33.3;Em Carga (CDC);12.19;81.4;13;43.8;NULL;0.5;0.88016;0.004;0.222;0
230;100;Em Carga (CDC);23.86;79.9;13;29.3;0.01;1;0.86621;0.035;1.208;0
13.8;9.375;Em Carga (CDC);23.86;92.7;161;23;0.13;1;0.91607;0.886;12.7;0
230;33.33;Em Carga (CDC);14.11;100.1;7;40.4;NULL;1;0.87776;0.005;0.512;0
13.8;28.75;Sem Comutador;15.31;93.6;12;38.3;0;1.5;0.88064;0.01;0.435;0
13.8;0.3;Sem Tensão (CDST);25.44;79.2;15;30.4;0.02;1;0.86331;0.013;0.811;0
230;50;Em Carga (CDC);11.93;93.8;5;38.4;NULL;1;0.87781;0.0071;0.2666;0
69;8.724;Sem Comutador;23.86;100.1;53;24.8;0.07;NULL;0.91568;0.668;8.327;0
230;33;Sem Comutador;40.71;90.2;13;26.9;NULL;4;0.88347;0.281;11.576;0
230;30;Em Carga (CDC);6.93;93.1;11;44.5;NULL;0;0.87172;0.015;0.717;0
69;12.5;Em Carga (CDC);23.86;95.2;123;22.9;0.1;0.5;0.91692;0.69;13.748;0
550;100;Em Carga (CDC);42.11;95;12;34.5;NULL;2;0.88232;0.0336;1.6231;0
230;55;Em Carga (CDC);15.44;100;9;38.5;NULL;1;0.87467;0.007;0.586;0
230;100;Em Carga (CDC);10.09;94.3;11;37.6;NULL;0.5;0.87944;0.01;0.304;0
13.8;0;Sem Tensão (CDST);40.95;57.1;17;35.5;0.01;1.5;0.88068;0.025;0.77;0
230;33.3;Em Carga (CDC);17.39;99.7;7;43.3;NULL;0.5;0.88402;0.003;0.608;0
230;100;Em Carga (CDC);39.87;100.2;11;36.1;NULL;2;0.87863;0.074;2.346;0
230;50;Em Carga (CDC);28.94;95.8;11;31.9;0.02;2.5;0.87334;0.122;3.966;0
500;292;Em Carga (CDC);9.98;93.1;10;45.5;0;0;0.88696;0.005;0.069;0
500;292;Em Carga (CDC);9.98;97;7;42.3;0;0.5;0.87527;0.008;0.163;0
13.8;0.75;Sem Tensão (CDST);39.03;46.5;39;30.5;NULL;1;0.88085;0.062;2.312;1
230;60;Sem Comutador;40.71;85.2;14;30;NULL;2.5;0.87851;0.168;4.825;0
230;50;Em Carga (CDC);43.87;94.5;19;33.1;0.02;2;0.87782;0.074;2.768;0
230;100;Em Carga (CDC);35.87;80.2;13;41.4;0;1;0.8683;0.037;0.902;0
500;292;Em Carga (CDC);9.98;93.9;8;41.5;0;0.5;0.88005;0.005;0.11;0
550;200;Em Carga (CDC);30.94;95.7;9;35.3;0.01;1.5;0.87027;0.033;0.593;0
500;250;Em Carga (CDC);24.78;89.2;10;41.3;NULL;1;0.88729;0.002;0.441;0
550;150;Em Carga (CDC);25.83;83.9;12;37.3;0;1.5;0.86568;0.012;0.192;0
230;65;Em Carga (CDC);27.78;91.9;11;36.9;NULL;1.5;0.86562;0.006;0.335;0
NULL;NULL;NULL;4.32;93.2;4;45.8;NULL;0;0.87439;0.0061;0.3162;0
NULL;NULL;NULL;4.32;95.8;5;43.9;NULL;0;0.87541;0.0063;0.1221;0
13;0.79;Sem Comutador;40.71;26.5;48;23;NULL;2.5;0.87025;0.067;2.84;1
13;0.79;Sem Comutador;10.45;20.8;43;31.1;NULL;1.5;0.87469;0.02;1.16;1
13;0.79;Sem Comutador;10.70;72.7;25;29.9;NULL;1.5;0.87758;0.016;1.038;1
13.8;1.5;Sem Tensão (CDST);39.03;46.8;35;34.3;0.02;1;0.88542;0.018;0.775;0
18.8;2.5;Sem Tensão (CDST);39.03;37;38;30.1;0.03;1;0.88628;0.023;0.929;1
13.8;7.5;Sem Tensão (CDST);39.03;71.3;30;31.1;0.03;1.5;0.88594;0.048;2.226;0
13.8;2;Sem Tensão (CDST);34.53;51.8;30;28.4;NULL;1.5;0.88552;0.047;1.468;0
69;6630;Sem Comutador;3.93;98;49;25.1;0.09;1;0.916;0.49;7.991;0
13.8;0;Sem Comutador;4.86;55;14;41.7;0;1;0.86436;0.049;1.065;0
230;100;Sem Comutador;1.85;71.7;15;41.5;0;0;0.87217;0.016;0.678;0
6.9;14;Sem Comutador;1.49;93.6;80;25.1;0.04;0;0.91621;0.301;5.885;1
NULL;NULL;NULL;1.39;78.9;12;41.7;0;0;0.86942;0.008;0.274;0
NULL;NULL;NULL;1.39;75.7;11;45;0;0;0.86925;0.008;0.24;0
230;0;Em Carga (CDC);1.39;19;56;43.4;0;0;0.86936;0.012;0.225;0
69;30;NULL;34.37;46;19;38.1;0;1;0.87159;0.015;0.672;0
34.5;0.15;Sem Comutador;25.11;84.9;15;22.1;NULL;2;0.86312;1.114;22.3;0
500;250;Em Carga (CDC);41.82;86.8;11;29.6;NULL;2;0.8828;0.021;0.865;0
230;60;NULL;29.19;90.1;9;35;NULL;1.5;0.86158;0.021;0.708;0
230;230;Em Carga (CDC);8.48;96.5;6;40.6;0;0;0.87462;0.055;0.67;0
230;100;Em Carga (CDC);39.87;94;13;31.4;NULL;2.5;0.88049;0.095;2.192;0
500;100;Em Carga (CDC);42.21;100.2;11;36.7;NULL;1.5;0.8759;0.019;0.767;0
550;200;Em Carga (CDC);39.38;87.6;15;30;NULL;2;0.88063;0.057;2.18;0
500;250;Em Carga (CDC);43.79;100;11;29.4;NULL;2.5;0.87888;0.022;1.004;0
69;30;Sem Comutador;28.90;88.8;14;36.1;NULL;1.5;0.87417;0.025;0.876;0
69;30;Sem Comutador;14.96;76.9;9;42.5;NULL;0.5;0.88384;0.012;0.244;0
69;6300;Sem Tensão (CDST);0.65;71.8;22;28.2;NULL;2;0.87252;0.047;2.64;1
230;150;Em Carga (CDC);13.62;88.4;9;39;0;1;0.87758;0.007;0.182;0
69;30;Sem Comutador;27.36;94;7;38.3;0;0;0.87011;0.009;0.162;0
230;50;Sem Comutador;16.18;79.2;9;40.6;0;1;0.87459;0.01;0.432;0
500;292;Em Carga (CDC);9.98;90.7;11;40.5;0;0.5;0.87586;0.007;0.088;0
230;100;Em Carga (CDC);11.37;79.6;16;44.1;NULL;0;0.87439;0.001;0.211;0
230;30;Em Carga (CDC);21.25;99.8;20;38.4;0;1.5;0.88805;0.005;0.245;0
34.5;2562;Sem Comutador;7.30;100;56;23.3;NULL;1;0.91633;0.922;12.175;0
230;160;Sem Tensão (CDST);41.54;97.2;12;29.9;NULL;2.5;0.88329;0.0238;0.932;0
69;30;Sem Comutador;34.37;100.1;10;33.6;NULL;2;0.88111;0.046;2.23;0
13.8;0.15;Sem Tensão (CDST);21.00;68;15;36;NULL;1;0.86521;0.0114;0.702;0
242;100;Em Carga (CDC);19.92;100.2;12;40;NULL;0.5;0.88801;0.002;0.137;0
230;36.7;Sem Comutador;11.57;75.9;9;40;NULL;0.5;0.87975;0.0094;0.4146;0
500;1;Em Carga (CDC);23.86;90.2;11;44.1;0;0;0.86838;0.007;0.142;0
500;292;Em Carga (CDC);9.98;87.3;10;45.8;0;0;0.88823;0.001;0.429;0
230;100;Em Carga (CDC);41.79;93.6;13;34.6;0.01;1.5;0.88185;0.015;0.596;0
500;292;Em Carga (CDC);9.98;83.7;9;43.4;0;0;0.8879;0.003;0.046;0
230;60;Em Carga (CDC);20.98;86.6;11;35.4;0.01;1;0.87192;0.007;0.373;0
230;50;Sem Comutador;16.18;98.5;8;41.3;0;0.5;0.87447;0.019;0.375;0
230;33.3;Em Carga (CDC);12.19;91.4;13;41.9;NULL;0.5;0.87992;0.004;0.224;0
13.8;2.5;Sem Tensão (CDST);42.12;51.3;27;33;NULL;2;0.87282;0.018;0.958;1
500;100;Em Carga (CDC);11.93;90.6;6;38.4;NULL;0.5;0.87808;0.0056;0.2203;0
230;424;Em Carga (CDC);10.85;93;6;43.5;NULL;0;0.88694;0.0142;0.2525;0
13.8;0.5;Em Carga (CDC);7.76;53.2;13;41;0.01;0.5;0.87478;0.01;0.292;0
69;35;NULL;24.28;70.5;11;37.2;0;NULL;0.86551;0.026;0.893;0
230;100;Em Carga (CDC);7.31;100.1;12;40.6;0;0.5;0.86473;0.001;0.11;0
230;33.3;Em Carga (CDC);12.19;94.2;12;42.2;NULL;0.5;0.88033;0.005;0.23;0
500;10;Em Carga (CDC);10.94;91.1;10;43.8;NULL;0.5;0.87969;0.0027;0.1072;0
230;65;Em Carga (CDC);27.78;71.7;19;37.4;NULL;1.5;0.86643;0.02;0.37;0
230;100;Em Carga (CDC);35.79;99.5;8;39.8;NULL;1;0.86622;0.009;0.375;0
138;15;Sem Tensão (CDST);15.96;88.5;16;39.1;NULL;1.5;0.88524;0.009;0.491;0
242;100;Em Carga (CDC);23.86;92.1;10;39.9;NULL;0.5;0.8813;0.016;0.42;0
230;66.6;Sem Tensão (CDST);42.87;97.6;14;28.8;NULL;4;0.88224;0.219;7.362;0
230;424;Em Carga (CDC);10.85;96.9;12;45.3;NULL;0;0.88708;0.001;0.212;0
138;11.333;NULL;23.61;48.5;22;33.9;NULL;2;0.87492;0.017;1.187;0
230;200;Em Carga (CDC);7.93;99.3;8;38.9;NULL;0.5;0.87777;0.004;0.204;0
13.8;33;Em Carga (CDC);11.10;96.1;10;37.7;NULL;1;0.87351;0.009;0.473;0
230;100;Em Carga (CDC);1.72;92.8;9;43.1;NULL;0;0.87593;0.027;0.6946;0
69;0;Sem Comutador;9.73;14.9;81;27.2;0.04;2;0.87433;5.165;2.891;0
230;100;Em Carga (CDC);NULL;90.2;10;40.6;NULL;1;0.87534;0.001;0.165;0
138;138;Sem Tensão (CDST);46.24;35.9;35;33.5;NULL;1;0.87818;0.011;0.592;1
230;55;Em Carga (CDC);10.18;75.2;12;43;0;0.5;0.87465;0.005;0.176;0
525;60;Em Carga (CDC);24.70;98.2;7;39.5;NULL;0.5;0.86649;0.0029;0.1079;0
230;16.67;Em Carga (CDC);29.98;92;12;40.2;NULL;1;0.88188;0.005;0.534;0
13.8;0;Sem Tensão (CDST);42.12;22.8;34;32.4;0.01;1;0.88287;0.019;1.775;0
500;292;Em Carga (CDC);9.98;95.5;12;43.3;0;0;0.87579;0.005;0.084;0
550;120;Em Carga (CDC);42.87;100.1;10;37.2;NULL;0.5;0.87636;0.012;0.453;0
230;36.7;Sem Comutador;11.57;89.9;10;40;NULL;1;0.87947;0.0075;0.4;0
230;65;Em Carga (CDC);11.09;84.7;12;39.9;0;0.5;0.87807;0.011;0.211;0
18.8;2.5;Sem Tensão (CDST);40.87;39.8;36;30.5;NULL;1.5;0.87817;0.018;0.934;1
230;424;Em Carga (CDC);10.85;100.2;11;41.9;NULL;0;0.88661;0.002;0.099;0
230;100;Em Carga (CDC);6.84;99;10;43.7;0;0;0.88061;0.031;0.916;0
500;292;Em Carga (CDC);9.98;94.9;12;39.7;0;0.5;0.87502;0.011;0.189;0
230;100;Em Carga (CDC);7.89;91.5;11;43.9;0;0.5;0.87449;0.003;0.271;0
230;NULL;Em Carga (CDC);23.86;94.8;10;39.8;0;1;0.87718;0.028;0.817;0
230;16.67;Em Carga (CDC);29.98;87.4;11;40.4;0;1;0.88117;0.01;0.559;0
230;150;Em Carga (CDC);23.86;99.1;9;42.6;0;0.5;0.87608;0.006;0.083;0
13.8;0;Sem Tensão (CDST);42.12;43.4;38;30.9;NULL;1.5;0.88184;0.022;0.116;0
13.8;387;Sem Comutador;18.93;63.8;15;38.8;NULL;1;0.88533;0.009;0.321;0
230;100;Em Carga (CDC);41.79;89.2;14;33.8;0.02;2;0.88388;0.021;0.989;0
230;100;Em Carga (CDC);41.79;100.1;9;29.7;0.01;2;0.8811;0.031;1.149;0
230;100;Em Carga (CDC);20.98;96;8;42.8;0;0.5;0.88751;0.004;0.155;0
230;60;Em Carga (CDC);40.71;95.5;7;27.4;NULL;3.5;0.88347;0.043;2.37;0
69;30;Em Carga (CDC);25.94;95.1;13;24.8;0.07;4;0.88393;0.411;13.86;0
230;50;Em Carga (CDC);11.04;92.9;10;38.5;0;0;0.88815;0.002;0.204;0
230;100;Em Carga (CDC);26.86;93.7;10;36.9;NULL;1;0.86556;0.007;0.335;0
550;100;Em Carga (CDC);42.11;98.7;12;30.5;NULL;2;0.8826;0.1298;4.9778;0
230;60;Em Carga (CDC);23.86;82.3;14;29.9;NULL;3;0.85;0.023;0.756;0
13.8;0;Sem Tensão (CDST);41.95;31.1;36;31.6;NULL;1.5;0.88051;0.024;1.67;1
13.8;33.33;Sem Comutador;39.87;45.3;24;35.5;NULL;1;0.87993;0.008;0.737;0
230;50;Em Carga (CDC);42.79;91;14;36;0.02;2;0.87759;0.089;3.057;0
500;250;Em Carga (CDC);24.78;100.1;8;35.6;NULL;1;0.88822;0.007;0.878;0
500;250;Em Carga (CDC);24.78;92.2;8;39.3;NULL;1;0.88789;0.007;0.742;0
13.8;7.5;Sem Tensão (CDST);39.87;50.2;32;33.4;0.02;1.5;0.88271;0.015;1.126;0
550;200;Em Carga (CDC);39.38;97.6;19;34.2;0.02;2.5;0.888207;0.086;3.03;0
230;50;Sem Comutador;9.95;92.8;12;35.1;0;1;0.87942;0.008;0.34;0
500;150;Em Carga (CDC);10.17;96.2;7;41.3;NULL;1;0.87101;0.004;0.484;0
230;160;Sem Tensão (CDST);41.54;100.1;8;29.9;NULL;2;0.88256;0.065;1.944;0
230;100;Em Carga (CDC);15.04;100.1;8;33.8;0.02;1.5;0.86607;0.014;0.584;0
550;230;Em Carga (CDC);11.60;91.2;11;40.9;NULL;0;0.87383;0.001;0.112;0
13.8;NULL;Em Carga (CDC);25.50;53.3;21;24.5;0.05;2.5;0.88229;0.139;4.98;0
13.8;1;Sem Comutador;9.73;58.1;36;32.5;0.04;1.5;0.88109;0.039;1.584;0
500;250;Em Carga (CDC);9.98;93;10;43.9;0;0;0.8748;0.013;0.143;0
550;150;Em Carga (CDC);25.86;89.4;10;36.6;0.01;1.5;0.86557;0.012;0.693;0
230;55;Em Carga (CDC);11.17;93;9;44.7;0;1;0.87816;0.008;0.276;0
230;100;Em Carga (CDC);15.68;90.1;10;41.5;NULL;0.5;0.88481;0.002;0.197;0
13.8;0;Sem Comutador;4.32;61.7;23;35.7;0.01;1.5;0.8754;0.02;0.78;0
NULL;NULL;NULL;4.32;100.1;4;43.4;NULL;0;0.87456;0.0112;0.2215;0
NULL;NULL;NULL;41.71;51.6;24;34.6;NULL;1;0.88114;0.01;0.464;0
13.8;NULL;Em Carga (CDC);41.45;51.6;24;34.6;NULL;1;0.88114;0.01;0.464;0
13;0.79;Sem Comutador;40.71;45.6;40;33.6;NULL;1;0.875;0.011;0.967;0
13.8;0;Sem Comutador;38.34;41.4;33;23.9;NULL;2;0.87986;0.086;3.807;0
13.8;30.8;Sem Comutador;4.32;40;31;36.9;0.01;1;0.87553;0.012;0.56;0
13.2;0.525;Sem Tensão (CDST);48.87;23;48;15.3;NULL;4.5;0.87887;0.43;12.898;0
13.2;0.525;Sem Tensão (CDST);28.61;90.5;14;26.1;NULL;2;0.85254;0.141;3.891;0
13.8;42;Sem Comutador;40.87;97;13;32.2;NULL;1.5;0.88131;0.015;1.094;0
13.8;42;Em Carga (CDC);39.54;99.6;13;33.1;NULL;1.5;0.87843;0.0149;0.8588;0
13.8;0;Sem Comutador;14.76;20.7;43;34.7;NULL;1;0.87623;0.016;0.738;1
13;0.79;Sem Comutador;40.71;28.4;39;25.4;NULL;2;0.87075;0.045;2.315;1
13;0.79;Sem Comutador;10.70;29.9;38;30.5;NULL;1.5;0.87727;0.016;0.897;1
13.8;42;Sem Comutador;40.12;20.7;43;34.7;NULL;1;0.87623;0.016;0.738;0
13.8;7.5;Sem Tensão (CDST);19.86;68.8;15;39.8;0;0.5;0.88889;0.007;0.371;0
13.8;7.5;Sem Tensão (CDST);38.03;33.5;35;26.6;0.04;2;0.88926;0.094;4.045;0
13.8;24.5;Sem Tensão (CDST);25.75;36.9;24;40.8;NULL;0.5;0.877;0.007;0.469;0
230;60;Em Carga (CDC);36.87;86.8;10;31.9;NULL;1.5;0.88269;0.009;0.421;0
13.8;0;Sem Comutador;6.11;74;12;38.5;0.01;0.5;0.87291;0.005;0.342;0
230;0;Em Carga (CDC);6.09;100.3;7;41;0;0;0.87554;0.005;0.164;0
NULL;NULL;NULL;1.87;75.9;7;41.7;NULL;0;0.86598;0.0341;0.6277;0
13.8;0;Sem Comutador;38.34;72.2;21;33;NULL;1.5;0.87161;0.014;0.889;0
NULL;NULL;NULL;3.94;100.1;52;25.6;0.05;1;0.91607;0.381;6.044;0
13.8;1.5;Sem Tensão (CDST);39.03;32.4;28;34.2;0.02;1;0.88332;0.015;0.756;1
13.8;1.5;Sem Tensão (CDST);39.03;33.5;62;22;NULL;2.5;0.88457;0.118;4.682;1
18.8;2.5;Sem Tensão (CDST);39.03;48.5;31;28.1;0.04;2;0.88651;0.052;2.264;1
18.8;2.5;Sem Tensão (CDST);39.03;36.9;35;32.8;0.02;1;0.88812;0.047;2.533;1
13.8;1.5;Sem Tensão (CDST);18.98;36.3;27;32.4;0.02;2;0.8685;0.051;1.622;1
13.8;3;Sem Tensão (CDST);34.53;75.4;19;25.9;NULL;2.5;0.88668;0.145;6.64;0
13.8;3;Sem Tensão (CDST);34.53;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
13.8;2;Sem Tensão (CDST);34.53;62;30;26.5;NULL;1;0.883549;0.473;11.174;0
13.8;378;Sem Tensão (CDST);13.32;97.9;6;39.7;NULL;1;0.87632;0.008;0.242;0
13.8;3;Sem Tensão (CDST);36.20;60.1;23;36;NULL;1;0.88225;0.01;0.54;0
230;NULL;Em Carga (CDC);6.09;96;8;44;0;0;0.87525;0.007;0.351;0
230;NULL;Em Carga (CDC);6.11;90.4;8;43.7;0;0;0.87539;0.007;0.494;0
69;6.3;Sem Tensão (CDST);0.65;74.6;25;28.9;NULL;2;0.87248;0.0671;2.0219;0
230;67;Sem Comutador;44.79;68.5;13;36.3;NULL;1.5;0.87001;0.0066;0.5816;0
13.8;24.5;Sem Tensão (CDST);36.66;97.8;10;29.1;0.04;1.5;0.87725;0.04;1.749;0
13.8;405;Em Carga (CDC);16.36;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
69;33.33;Sem Tensão (CDST);10.89;95.8;9;38.8;0;1;0.87805;0.007;0.458;0
230;55;Em Carga (CDC);13.48;91.6;10;36.9;NULL;1;0.87635;0.015;0.888;0
550;150;Em Carga (CDC);24.94;100.1;10;32.6;0.02;2.5;0.86587;0.035;1.57;0
13.8;33.33;Sem Comutador;40.37;27.5;32;37.4;0.01;1;0.87908;0.015;1.197;1
13.8;NULL;Em Carga (CDC);25.50;76.2;15;28.9;0.03;2;0.88231;0.11;4.37;0
13.8;NULL;NULL;9.73;44.5;25;33.7;NULL;1;0.87609;0.099;1.858;0
13.8;0;Sem Comutador;9.73;28;20;29.5;0.05;2;0.87433;0.1;3.054;1
230;NULL;Em Carga (CDC);NULL;100.1;8;41.9;NULL;0.5;0.87614;0.0035;0.0387;0
64;NULL;Em Carga (CDC);NULL;100.3;6;33.3;NULL;1.5;0.87664;0.0055;0.3757;0
230;20;Em Carga (CDC);NULL;96;6;37.3;NULL;1;0.87674;0.0038;0.2877;0
230;0;Em Carga (CDC);4.14;100.1;8;44.3;NULL;0;0.86967;0.017;0.359;0
230;60;Em Carga (CDC);NULL;97;10;38.7;NULL;1;0.86557;0.003;0.152;0
230;100;Em Carga (CDC);11.66;91.8;8;43.7;NULL;1;0.87658;0.01;0.189;0
NULL;NULL;NULL;11.07;98.7;13;42.9;NULL;0.5;0.87118;0.002;0.077;0
13.8;42;Em Carga (CDC);11.44;100.1;8;39.9;NULL;0.5;0.87485;0.0054;0.2416;0
13;0.79;Sem Comutador;40.71;30.9;37;23.4;NULL;2.5;0.86898;0.081;3.032;1
13.8;0.79;Sem Comutador;40.71;42;23;33.1;NULL;1;0.87409;0.007;0.683;1
13.8;0.79;Sem Comutador;40.71;24;38;32.7;NULL;1.5;0.87487;0.011;0.649;1
18.8;2.5;Sem Tensão (CDST);39.03;25.5;30;31.7;0.03;1.5;0.87747;0.028;1.231;1
13.8;378;Sem Comutador;20.04;89.3;11;37.2;NULL;0.5;0.8768;0.006;0.639;0
13.8;405;Em Carga (CDC);18.74;NULL;10;NULL;NULL;NULL;NULL;NULL;NULL;0
13.8;3;Sem Tensão (CDST);36.87;90;14;31.4;NULL;1;0.87271;0.017;0.863;0
230;60;Em Carga (CDC);36.12;91.3;12;35.8;NULL;1.5;0.8806;0.007;0.362;0
13.8;3;Sem Tensão (CDST);36.87;96.2;16;29.7;NULL;1.5;0.87289;0.028;1.031;0
230;60;Em Carga (CDC);36.12;98.3;13;25.9;NULL;1;0.87416;0.038;0.991;0
13.8;0;Sem Comutador;6.09;19;45;38.2;0.01;0.5;0.87158;0.004;0.399;0
13.8;NULL;NULL;4.86;79.5;9;34.1;0.02;2;0.864;0.062;1.465;0
13.8;60;Sem Comutador;4.86;75.6;10;27.8;0.03;2;0.87726;0.039;1.775;0
230;NULL;NULL;2.11;92.7;14;40.3;0;0;0.86634;0.004;0.119;0
230;100;Em Carga (CDC);1.55;84.9;10;43.7;0;0;0.87288;0.009;0.25;0
500;NULL;NULL;25.50;96.5;13;30.4;0.01;4.5;0.85252;0.051;1.37;0
242;33.21;NULL;20.41;100.1;18;25.3;NULL;4;0.88782;0.936;23.503;0
145;5.52;NULL;44.83;100.2;14;33.9;NULL;1.5;0.87812;0.016;1.219;0
317.54;55;NULL;24.70;92.9;10;34.3;NULL;1;0.86643;0.0084;0.2964;0
500;55;NULL;24.70;96.1;12;30.1;NULL;3;0.86449;0.026;1.126;0
145;20;NULL;28.45;80.6;12;32.8;NULL;2;0.86031;0.014;0.931;0
145;2214;NULL;20.98;92.7;9;37.3;NULL;1;0.87621;0.0065;0.4525;0
500;65.85;NULL;13.88;96.8;9;35;NULL;0.5;0.87634;0.002;0.262;0
500;150;NULL;25.50;98.3;20;30.7;0.02;3.5;0.88673;0.07;2.972;0
145;55;NULL;20.11;73.7;22;34.3;0.01;1.5;0.87746;0.083;1.906;0
500;165;NULL;24.76;100.1;6;37.6;NULL;1;0.87253;0.0101;0.636;0
242;22;NULL;7.15;90.8;8;40.2;NULL;0;0.87479;0.009;0.156;0
145;20;NULL;28.94;NULL;66;NULL;NULL;NULL;NULL;NULL;NULL;0
317.54;55;NULL;24.66;69.2;14;27.4;NULL;2;0.867;0.0458;1.5373;0
138;NULL;NULL;24.77;96.8;108;24.6;0.13;0.5;0.91642;1.153;16.14;0
500;65.85;NULL;12.94;78.7;15;37.5;0;1;0.88616;0.003;0.176;0
500;150;NULL;25.50;91;18;34.8;0.02;2.5;0.88406;0.034;1.718;0
500;NULL;NULL;43.71;91.1;16;34.3;0.03;3;0.88406;0.057;1.935;1
145;30;NULL;43.75;76;23;32.1;NULL;3;0.87882;0.073;2.521;0
145;50;NULL;25.50;90.5;15;31.3;0.02;2;0.86947;0.238;1.2;0
242;NULL;NULL;21.06;62.2;14;37.1;NULL;1.5;0.88556;0.008;0.406;0
145;33.33;NULL;21.44;94.1;11;31.1;NULL;2.5;0.88211;0.114;4.996;0
242;33.21;NULL;10.88;52.1;17;37;0;1;0.87153;0.078;1.218;0
500;150;NULL;42.11;75.3;19;28.3;NULL;3.5;0.88348;0.0728;2.9783;0
500;33.5;NULL;38.37;100.2;6;36.7;NULL;1.5;0.87765;0.022;0.9809;0
500;65.85;NULL;16.85;98.8;14;34;NULL;1;0.8754;0.0138;0.2743;0
500;165;NULL;24.76;91.9;10;24.4;NULL;2;0.86668;0.3956;9.0395;1
242;NULL;NULL;21.06;90.5;10;39.1;0;1.5;0.88324;0.067;2.036;0
242;NULL;NULL;20.44;93;16;31.7;0.03;2.5;0.88634;0.119;3.397;0
145;30;NULL;38.74;97.5;15;32.2;NULL;2.5;0.88158;0.025;1.912;0
500;50;NULL;42.12;96.7;25;25.1;NULL;4.5;0.88353;0.3021;7.6763;0
500;33.5;NULL;42.12;98.9;7;39.6;NULL;1;0.87749;0.0428;0.8308;0
230;20;NULL;7.92;93.9;13;30.7;NULL;1.5;0.87711;0.0209;0.9344;0
500;50;NULL;23.86;92.3;14;31.2;NULL;2.5;0.88575;0.1066;3.4973;0
230;22.14;NULL;15.02;98.2;38;23.7;0.14;1;0.91447;2.795;38.669;1
500;65.85;NULL;15.36;87.6;10;39.6;NULL;0.5;0.87554;0.006;0.2897;0
230;NULL;NULL;7.94;73.1;14;32.4;NULL;1.5;0.87725;0.0366;1.4452;0
500;45.3;NULL;34.09;99.3;12;32.1;NULL;2.5;0.87693;0.0429;1.4451;0
230;22.14;NULL;15.02;87.3;9;33.6;NULL;0.5;0.8756;0.009;0.673;0
500;165;NULL;25.50;100.2;8;38.8;NULL;2;0.85579;0.007;0.1948;0
500;NULL;NULL;25.50;99;13;27.5;0.02;4.5;0.85988;0.052;1.56;0
550;72.6;NULL;23.86;94;16;39.9;NULL;1;0.87548;0.0061;0.287;0
24;NULL;NULL;21.50;90.9;10;37.1;NULL;1;0.88146;0.0072;0.6988;0
242;NULL;NULL;42.07;99.5;14;35;0.02;2;0.87822;0.04;1.662;0
500;50;NULL;42.12;93;17;27.8;NULL;3.5;0.88459;0.0872;2.9809;0
69;NULL;NULL;3.84;92.6;12;32.1;NULL;2;0.87883;0.0296;1.2122;0
500;NULL;NULL;2.24;100;8;39.5;NULL;0;0.86639;0.001;0.291;0
230;NULL;NULL;21.50;97.9;7;42.7;NULL;0;0.87473;0.0093;0.2001;0
500;165;NULL;25.50;100.3;10;36.9;NULL;2;0.85478;0.0105;0.2169;0
242;NULL;NULL;20.44;92.4;13;33.1;0.02;2.5;0.88766;0.051;1.452;0
145;2214;NULL;23.86;73.6;8;38.1;NULL;0.5;0.87551;0.0036;0.5058;0
242;NULL;NULL;26.29;96;20;32;NULL;2.5;0.8655;0.04;1.338;0
500;55;NULL;24.85;97.8;11;38.1;NULL;0.5;0.87624;0.0546;1.7835;0
242;NULL;NULL;19.28;100.1;10;43.3;0;1;0.87571;0.007;0.278;0
500;50;NULL;43.62;100.1;8;31.2;NULL;2.5;0.87993;0.0543;1.6752;0
38;351;NULL;25.70;79.2;15;31.2;0.02;2.5;0.887544;0.071;2.574;0
500;50;NULL;42.12;100.2;13;29.9;NULL;3;0.88497;0.0589;2.2995;0
317.54;55;NULL;24.70;72.5;10;34;NULL;1;0.86917;0.011;0.2308;0
15;20;NULL;16.21;93.8;16;30.8;NULL;3.5;0.88141;0.0703;2.7314;0
230;63;NULL;11.43;95.3;8;40.5;0;0;0.88733;0.005;0.145;0
